elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2563.93216,3,2489,52,671.0,1646.3
30.1,31.0,2604.883968,96,2541,59,671.0,1654.7
45.1,31.1,2605.002752,1,2466,49,671.0,1654.7
60.1,29.8,2605.068288,3,2531,52,633.1,1654.7
75.1,29.8,2633.015296,1,2471,49,671.6,1654.7
90.2,29.8,2672.259072,26,2547,50,671.6,1654.7
105.2,30.4,2672.259072,0,2462,51,671.6,1654.7
120.2,31.2,2672.259072,0,2531,49,671.0,1654.7
135.2,31.4,2672.336896,1,2491,52,671.0,1654.7
