elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
16.0,0.0,2408.98048,98,5069,75,3072.4,3984.6
31.0,101.4,2450.833408,96,5087,74,3062.3,4005.6
46.0,97.6,2470.551552,99,5087,77,3072.4,4005.6
61.1,100.9,2470.653952,19,5088,59,3062.3,4005.6
76.1,101.3,2470.821888,99,5087,72,3072.4,4005.6
91.1,100.2,2470.969344,99,5087,70,3072.4,4005.6
106.1,103.2,2470.981632,98,5087,75,2407.5,4005.6
121.1,99.7,2470.989824,99,5087,77,3072.4,4005.6
136.2,103.3,2470.989824,99,5086,78,3072.4,4005.6
