elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.9,0.0,2390.429696,99,5079,78,2424.3,4013.9
31.0,102.2,2390.458368,98,5079,79,3086.0,4013.9
46.0,100.4,2455.339008,88,5104,75,2424.3,4037.0
61.0,102.3,2455.351296,99,5165,80,3088.5,4037.0
76.0,102.4,2455.355392,99,5149,69,2424.3,4037.0
91.1,99.4,2455.625728,99,5141,79,3088.5,4037.0
106.1,102.2,2455.63392,99,5072,78,2424.3,4037.0
121.1,102.3,2455.63392,99,5072,76,3086.0,4037.0
136.1,100.3,2455.6544,98,5074,71,3086.0,4037.0
151.2,102.4,2455.6544,99,5074,78,2424.3,4037.0
166.2,99.8,2455.658496,1,5074,71,2424.3,4037.0
181.2,102.3,2455.662592,99,5072,71,2424.3,4037.0
196.2,102.3,2455.662592,99,5072,79,3088.5,4037.0
