epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
1,1.10668,0.548415,0.68088,0.690817,0.680064,0.698664,0.696012,0.74054,4.995305164319249e-05,35.47,5.11,40.58,3764.5,True
2,0.597724,0.779343,0.713893,0.723105,0.715471,0.73539,0.717757,0.69494,4.990610328638498e-05,35.52,5.25,40.77,3764.5,True
3,0.367042,0.872359,0.687758,0.693447,0.686707,0.711613,0.688655,0.783147,4.9859154929577466e-05,35.28,4.46,39.75,3764.5,False
4,0.209981,0.933979,0.69326,0.704426,0.694742,0.709803,0.703761,0.736221,4.9812206572769954e-05,35.11,4.45,39.56,3764.5,False
5,0.134175,0.954519,0.675378,0.695406,0.685132,0.72317,0.686651,0.778767,4.976525821596245e-05,35.21,4.45,39.66,3764.5,False
