epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.264245,0.516204,0.607978,0.612525,0.600679,0.616243,0.626164,0.899614,0.001,11.12,2.65,13.77,1014.5,True
2,0.918658,0.646701,0.650619,0.66257,0.653829,0.688579,0.651676,0.884222,0.0009698463103929542,11.19,2.65,13.84,1014.5,True
3,0.764575,0.706887,0.650619,0.65484,0.644941,0.656285,0.661432,0.815287,0.000883022221559489,11.19,2.63,13.82,1014.5,False
4,0.711459,0.724537,0.664374,0.6707,0.662786,0.675277,0.669435,0.855881,0.00075,11.32,2.61,13.94,1014.5,True
5,0.610283,0.768229,0.661623,0.666778,0.659131,0.695047,0.660704,0.876447,0.0005868240888334653,11.23,2.63,13.86,1014.5,False
6,0.576853,0.774884,0.658872,0.675116,0.666047,0.692736,0.66348,0.867193,0.00041317591116653486,10.88,2.62,13.5,1014.5,True
7,0.505581,0.811921,0.657497,0.667543,0.657777,0.67219,0.664912,0.836762,0.0002500000000000001,11.02,2.61,13.64,1014.5,False
8,0.470547,0.831019,0.642366,0.650649,0.641347,0.659937,0.647942,0.881256,0.00011697777844051105,11.26,2.61,13.88,1014.5,False
9,0.441741,0.845775,0.651994,0.664179,0.65357,0.669281,0.660634,0.841945,3.0153689607045842e-05,11.21,2.62,13.83,1014.5,False
10,0.431853,0.853877,0.647868,0.660608,0.649906,0.666994,0.656094,0.867668,0.0,11.14,2.62,13.76,1014.5,False
