elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2564.952064,0,2757,48,688.5,2007.0
30.1,34.9,2610.29888,0,2827,47,688.5,2015.4
45.1,35.3,2677.456896,1,2767,51,688.5,2015.4
60.1,33.8,2677.538816,0,2823,47,689.1,2015.4
75.1,33.7,2677.563392,1,2766,47,689.1,2015.4
90.2,34.7,2677.583872,1,2826,48,650.5,2015.4
105.2,34.1,2677.604352,35,2761,53,688.5,2015.4
120.2,35.3,2677.645312,0,2821,49,1324.1,2015.4
135.2,35.6,2677.6576,16,2765,53,688.5,2015.4
