epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.264476,0.512442,0.606602,0.612262,0.600571,0.615527,0.624063,0.905827,0.001,11.31,2.61,13.92,1760.4,True
2,0.917644,0.662326,0.629986,0.639997,0.631136,0.658342,0.634142,0.886782,0.0009698463103929542,11.23,2.63,13.87,1760.4,True
3,0.783532,0.70515,0.629986,0.62965,0.620816,0.634063,0.640691,0.831224,0.000883022221559489,10.93,2.68,13.61,1760.4,False
4,0.738463,0.715278,0.645117,0.655727,0.645396,0.65766,0.654344,0.851457,0.00075,11.47,2.66,14.13,1760.4,True
5,0.628665,0.767072,0.646492,0.653927,0.645635,0.679356,0.646532,0.903051,0.0005868240888334653,11.1,2.65,13.74,1760.4,False
6,0.589145,0.784144,0.660248,0.673025,0.663641,0.682431,0.666247,0.847399,0.00041317591116653486,11.15,2.66,13.81,1760.4,True
7,0.504554,0.827836,0.647868,0.657363,0.64714,0.656531,0.658899,0.829715,0.0002500000000000001,11.12,2.64,13.77,1760.4,False
8,0.467265,0.845486,0.650619,0.658703,0.650312,0.663391,0.656568,0.842263,0.00011697777844051105,11.42,2.63,14.05,1760.4,False
9,0.436711,0.860532,0.650619,0.660071,0.650437,0.661248,0.659932,0.837478,3.0153689607045842e-05,11.34,2.62,13.96,1760.4,False
10,0.430247,0.867477,0.65337,0.662975,0.653402,0.664702,0.662425,0.832207,0.0,11.14,2.65,13.79,1760.4,False
