elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2556.928,0,2706,47,671.0,1948.3
30.1,34.6,2597.879808,45,2780,45,671.0,1960.8
45.1,33.9,2597.863424,12,2724,48,633.1,1960.8
60.1,31.3,2597.945344,0,2779,46,671.6,1960.8
75.1,32.3,2597.965824,45,2718,54,671.6,1960.8
90.2,32.6,2598.014976,1,2778,47,671.0,1960.8
105.6,33.4,2598.043648,29,2721,53,671.0,1960.8
120.7,33.7,2598.047744,0,2781,48,671.0,1960.8
135.7,32.9,2598.05184,19,2721,50,813.5,1960.8
