epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.2396,0.511574,0.610729,0.626641,0.619433,0.692918,0.603765,0.994318,0.001,11.52,2.63,14.15,1014.5,True
2,0.929582,0.646701,0.634113,0.634832,0.626545,0.657888,0.63784,0.89896,0.0009698463103929542,10.79,2.6,13.39,1014.5,True
3,0.774085,0.711516,0.649243,0.665646,0.657395,0.691357,0.653445,0.876347,0.000883022221559489,11.32,2.76,14.08,1014.5,True
4,0.693949,0.734086,0.668501,0.679898,0.671864,0.697689,0.670329,0.853526,0.00075,11.63,2.64,14.28,1014.5,True
5,0.620836,0.76765,0.671252,0.682311,0.672717,0.687829,0.682634,0.783915,0.0005868240888334653,11.02,2.63,13.65,1014.5,True
6,0.560685,0.791088,0.662999,0.673345,0.664264,0.678701,0.670973,0.809286,0.00041317591116653486,11.02,2.64,13.67,1014.5,False
7,0.507291,0.815104,0.65337,0.665112,0.656795,0.675783,0.658009,0.859221,0.0002500000000000001,11.4,2.62,14.02,1014.5,False
8,0.470872,0.836806,0.660248,0.668799,0.659744,0.67175,0.667988,0.815337,0.00011697777844051105,10.91,2.67,13.58,1014.5,False
9,0.449102,0.850116,0.66575,0.675932,0.666432,0.678232,0.67451,0.790311,3.0153689607045842e-05,11.11,2.62,13.73,1014.5,False
10,0.437081,0.851852,0.656121,0.666359,0.657115,0.670606,0.66361,0.821735,0.0,11.18,2.64,13.82,1014.5,False
