elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2561.896448,1,2569,49,671.0,1746.9
30.1,32.7,2602.848256,96,2672,60,671.0,1757.4
45.1,31.2,2602.962944,1,2572,52,671.0,1757.4
60.1,30.8,2602.991616,1,2641,49,633.1,1757.4
75.1,31.0,2603.073536,27,2606,55,671.6,1757.4
90.1,31.0,2737.328128,27,2631,48,671.6,1757.4
105.2,31.1,2737.324032,0,2567,50,633.1,1757.4
120.2,31.7,2737.328128,46,2626,56,671.0,1757.4
135.2,31.6,2737.33632,83,2571,60,671.0,1757.4
