epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
1,1.128644,0.53081,0.686382,0.690911,0.681457,0.689363,0.696738,0.71297,4.995305164319249e-05,24.99,3.06,28.05,3745.8,True
2,0.627634,0.765845,0.709766,0.710996,0.703109,0.736919,0.711096,0.716992,4.990610328638498e-05,24.66,3.18,27.84,3747.1,True
3,0.371488,0.872066,0.678129,0.692427,0.682993,0.701662,0.687234,0.808971,4.9859154929577466e-05,24.62,2.38,27.0,3747.1,False
4,0.234684,0.924589,0.719395,0.727858,0.71862,0.732322,0.731545,0.677173,4.9812206572769954e-05,24.68,3.18,27.86,3747.1,True
5,0.131116,0.961561,0.69326,0.700624,0.691034,0.704844,0.708263,0.71393,4.976525821596245e-05,24.66,2.42,27.08,3747.1,False
