elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.9,0.0,2410.0864,98,5071,67,3072.4,3984.6
31.0,101.6,2451.939328,93,5091,77,3062.3,4005.6
46.0,101.0,2471.661568,99,5091,76,2407.5,4005.6
61.0,99.8,2471.862272,20,5093,56,3062.3,4005.6
76.1,102.8,2471.940096,98,5093,78,3072.4,4005.6
91.1,100.0,2472.022016,98,5093,73,3072.4,4007.7
106.1,103.1,2472.022016,98,5093,78,2407.5,4007.7
121.1,99.5,2472.050688,99,5094,78,3051.1,4007.7
136.2,103.2,2472.054784,99,5089,79,3072.4,4007.7
