epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
1,1.078446,0.565434,0.669876,0.65453,0.648097,0.689619,0.674431,0.774975,4.995305164319249e-05,36.3,5.23,41.53,3764.5,True
2,0.600399,0.772887,0.719395,0.725703,0.716718,0.733439,0.725732,0.710379,4.990610328638498e-05,41.08,5.34,46.42,3764.5,True
3,0.348895,0.881455,0.696011,0.709812,0.700872,0.722582,0.703771,0.758217,4.9859154929577466e-05,36.01,4.57,40.58,3764.5,False
4,0.224917,0.92723,0.687758,0.701975,0.692834,0.724057,0.693752,0.801599,4.9812206572769954e-05,35.92,4.56,40.48,3764.5,False
5,0.123225,0.9598,0.707015,0.710951,0.701706,0.719848,0.719618,0.672614,4.976525821596245e-05,36.04,4.56,40.6,3764.5,False
