epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.215427,0.526331,0.610729,0.610248,0.602691,0.628315,0.617924,0.89309,0.001,11.14,2.64,13.79,1107.8,True
2,0.885002,0.663484,0.64099,0.649154,0.637836,0.662354,0.654236,0.814953,0.0009698463103929542,11.26,2.62,13.88,1107.8,True
3,0.768568,0.701968,0.643741,0.658593,0.650788,0.699242,0.640261,0.907357,0.000883022221559489,10.87,2.61,13.49,1107.8,True
4,0.694402,0.737269,0.664374,0.66556,0.657344,0.681117,0.667471,0.84324,0.00075,11.13,2.65,13.78,1107.8,True
5,0.618504,0.764468,0.669876,0.68113,0.672428,0.687277,0.676288,0.793775,0.0005868240888334653,11.16,2.64,13.79,1107.8,True
6,0.563812,0.791667,0.671252,0.677734,0.667469,0.677304,0.684276,0.771837,0.00041317591116653486,11.46,2.61,14.07,1107.8,False
7,0.515705,0.814525,0.662999,0.66896,0.660623,0.671301,0.669646,0.829683,0.0002500000000000001,11.24,2.62,13.86,1107.8,False
8,0.48618,0.828125,0.669876,0.678574,0.669034,0.683434,0.677996,0.809449,0.00011697777844051105,11.2,2.63,13.83,1107.8,False
9,0.453011,0.840278,0.667125,0.676619,0.666864,0.678266,0.676012,0.81779,3.0153689607045842e-05,10.85,2.63,13.47,1107.8,False
10,0.451756,0.843461,0.664374,0.674791,0.665204,0.678792,0.672064,0.833065,0.0,11.27,2.61,13.88,1107.8,False
