epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
1,1.155122,0.514378,0.602476,0.582518,0.576064,0.628517,0.609721,0.85564,4.995305164319249e-05,36.29,5.29,41.58,3764.5,True
2,0.695079,0.745599,0.667125,0.669196,0.661863,0.679418,0.669892,0.826735,4.990610328638498e-05,35.81,5.27,41.08,3764.5,True
3,0.405045,0.852993,0.64099,0.638829,0.632042,0.654947,0.645695,0.809785,4.9859154929577466e-05,36.74,4.57,41.31,3764.5,False
4,0.25889,0.918721,0.621733,0.614805,0.60734,0.664188,0.624857,0.84726,4.9812206572769954e-05,35.75,4.58,40.33,3764.5,False
5,0.170824,0.950704,0.667125,0.679317,0.669744,0.684517,0.678983,0.791011,4.976525821596245e-05,35.9,4.57,40.47,3764.5,False
