epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
1,1.124885,0.535211,0.66575,0.664576,0.65607,0.680324,0.672432,0.788894,4.995305164319249e-05,25.21,3.13,28.34,3745.8,True
2,0.633497,0.766138,0.70564,0.705363,0.698361,0.73683,0.704073,0.745817,4.990610328638498e-05,24.94,3.11,28.05,3747.1,True
3,0.36874,0.872653,0.696011,0.708293,0.699521,0.715426,0.70347,0.764861,4.9859154929577466e-05,24.68,2.38,27.06,3747.1,False
4,0.229662,0.921362,0.726272,0.73153,0.723254,0.728144,0.737097,0.669839,4.9812206572769954e-05,24.74,3.1,27.84,3747.1,True
5,0.134665,0.956279,0.70564,0.711401,0.700488,0.72295,0.722043,0.680379,4.976525821596245e-05,24.66,2.44,27.1,3747.1,False
