elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2561.585152,2,2752,50,688.5,2007.0
30.1,34.1,2606.895104,96,2822,59,688.5,2015.4
45.1,35.1,2606.993408,49,2768,57,688.5,2015.4
60.1,33.2,2607.038464,1,2827,49,650.5,2015.4
75.1,33.3,2607.108096,28,2771,55,689.1,2015.4
90.1,33.2,2607.14496,2,2833,49,689.1,2015.4
105.2,33.9,2607.153152,2,2776,48,650.5,2015.4
120.2,35.1,2607.198208,1,2831,49,743.9,2015.4
135.2,34.5,2607.210496,97,2771,59,688.5,2015.4
