spec,n_seeds,block,trainable_params,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,wf1_mean
all,2,,1192193,0.6573592258099406,0.0027505057215133017,0.6554143245625661,0.659304127057315,0.6483516483516484,0.648823079995277
b00,2,0.0,101697,0.6346439875791446,0.009422187588750037,0.6279814948415278,0.6413064803167615,0.6229395604395604,0.6251442021088149
b08,2,8.0,101697,0.6545048366362038,0.007825028756279113,0.6489717057396591,0.6600379675327485,0.6442307692307692,0.6453340784611762
head_only,2,,2561,0.6356167714586491,0.0014664500821362204,0.634579834661299,0.6366537082559992,0.6243131868131868,0.6260472888565434
