epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.223175,0.520544,0.592847,0.590663,0.581428,0.609133,0.602467,0.927943,0.001,10.97,2.64,13.61,759.7,True
2,0.916674,0.652199,0.620358,0.626005,0.616029,0.638294,0.631521,0.863421,0.0009698463103929542,11.26,2.61,13.87,759.7,True
3,0.821658,0.690394,0.616231,0.636438,0.628715,0.685331,0.615069,0.97606,0.000883022221559489,10.97,2.61,13.57,759.7,True
4,0.763507,0.713831,0.645117,0.648785,0.640712,0.65851,0.650394,0.839567,0.00075,11.2,2.63,13.83,759.7,True
5,0.712391,0.731481,0.650619,0.661029,0.652599,0.680148,0.652774,0.843772,0.0005868240888334653,11.13,2.61,13.74,759.7,True
6,0.673431,0.73669,0.656121,0.661576,0.652118,0.661169,0.667524,0.767821,0.00041317591116653486,11.52,2.6,14.12,759.7,True
7,0.615303,0.768808,0.642366,0.650163,0.641953,0.669056,0.643999,0.881823,0.0002500000000000001,11.22,2.63,13.85,759.7,False
8,0.588973,0.789062,0.664374,0.675339,0.667323,0.68703,0.668006,0.812094,0.00011697777844051105,11.06,3.44,14.51,759.7,True
9,0.554824,0.798032,0.658872,0.665114,0.657969,0.672867,0.662442,0.812635,3.0153689607045842e-05,10.85,2.59,13.44,759.7,False
10,0.57052,0.779514,0.660248,0.669041,0.661244,0.677653,0.664093,0.828164,0.0,11.04,2.62,13.66,759.7,False
