epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.216702,0.525174,0.627235,0.629308,0.621394,0.652697,0.633539,0.865634,0.001,11.01,2.63,13.63,1201.0,True
2,0.889844,0.66522,0.635488,0.640331,0.630787,0.654244,0.64573,0.822134,0.0009698463103929542,11.29,2.64,13.94,1201.0,True
3,0.766946,0.713252,0.646492,0.66472,0.655535,0.698371,0.646662,0.911778,0.000883022221559489,10.99,2.67,13.65,1201.0,True
4,0.687635,0.74537,0.678129,0.681068,0.673789,0.70806,0.677972,0.793638,0.00075,11.12,2.61,13.73,1201.0,True
5,0.608743,0.775752,0.664374,0.673813,0.664751,0.680635,0.670116,0.822925,0.0005868240888334653,11.3,2.63,13.93,1201.0,False
6,0.552601,0.80353,0.669876,0.674652,0.664471,0.674868,0.681878,0.761442,0.00041317591116653486,11.54,2.62,14.16,1201.0,False
7,0.505893,0.820023,0.674003,0.681746,0.672022,0.683843,0.682836,0.768045,0.0002500000000000001,11.31,2.62,13.93,1201.0,True
8,0.474734,0.841146,0.672627,0.680904,0.67183,0.685991,0.67959,0.790051,0.00011697777844051105,11.13,2.65,13.78,1201.0,False
9,0.44347,0.848669,0.674003,0.682776,0.673253,0.684866,0.682496,0.776032,3.0153689607045842e-05,11.78,2.66,14.44,1201.0,True
10,0.44173,0.855324,0.671252,0.68078,0.671052,0.684216,0.679231,0.788155,0.0,11.27,2.62,13.9,1201.0,False
